id,title,authors,venue,publishing_date,url,date_found,source_mode,relevance_tier,matched_interests,residual_score,theme_groups,headline,summary,abstract,notes,is_read,is_starred,user_lists
al-2026-safety-guarantees,Safety Guarantees for Neural Network-Encoded Control Policies Through Constrained Reinforcement Learning,H Entenmann et al.,IEEE Robotics and Automation Letters,2026,https://ieeexplore.ieee.org/document/11430591,2026-03-31,email,definitely,Safe & robust robot control|Reinforcement learning|Control Barrier Functions (CBFs),0,Safety & Verification|Reinforcement Learning,Constrained RL training embeds CBF-based safety guarantees directly into neural network policies,"This paper proposes a constrained reinforcement learning framework for training neural network controllers that satisfy formal safety guarantees encoded via control barrier functions. Safety constraints are integrated directly into the RL training objective, ensuring that the learned neural policy satisfies CBF-based conditions throughout training. The approach provides a principled connection between data-driven RL policy training and the formal verification of safety properties for neural controllers, appearing in IEEE RA-L.","Neural network-based control policies offer flexibility but lack formal safety guarantees. This work proposes training such policies via constrained reinforcement learning using control barrier function conditions as explicit constraints, so that the resulting neural policy provably satisfies safety specifications. The framework is validated on robotic control tasks, demonstrating that safety guarantees can be embedded into learned policies without sacrificing task performance.",,true,false,
sa-2026-topological-obstructions,Topological Obstructions to the Existence of Control Barrier Functions,"Massimiliano de Sa, Aaron D. Ames",arXiv,Mar 2026,https://arxiv.org/abs/2603.18422,2026-03-31,email,definitely,Safe & robust robot control|Control Barrier Functions (CBFs),0,Safety & Verification,Brockett-like topological conditions reveal when smooth CBFs provably cannot exist,"The paper establishes topological necessary conditions for the existence of control barrier functions (CBFs), analogous to Brockett's classical obstruction conditions for asymptotic stabilizability. By exploiting the unique geometry of CBF safe sets, the authors derive simple, self-contained derivations that reveal fundamental topological constraints on CBF existence. The results encompass necessary conditions for safe sets homeomorphic to a closed ball and generalize prior work on set stabilization, potentially guiding practitioners away from safe set geometries where CBF-based controllers cannot exist.","In 1983, Brockett developed a topological necessary condition for the existence of continuous, asymptotically stabilizing control laws. Building upon recent work on necessary conditions for set stabilization, we develop Brockett-like necessary conditions for the existence of control barrier functions (CBFs). By leveraging the unique geometry of CBF safe sets, we provide simple and self-contained derivations of necessary conditions for the existence of CBFs and their safe, continuous controllers. We demonstrate the application of these conditions to instructive examples and kinematic nonholonomic systems, and discuss their relationship to Brockett's necessary condition.",,false,false,
kiss-2026-integral-control,"Integral Control Barrier Functions with Input Delay: Prediction, Feasibility, and Robustness","Adam K. Kiss, Ersin Das, Tamas G. Molnar, Aaron D. Ames",arXiv,Mar 2026,https://arxiv.org/abs/2603.24566,2026-03-31,email,definitely,Safe & robust robot control|Control Barrier Functions (CBFs),0,Safety & Verification,Prediction-based integral CBFs handle input delay with safety and feasibility guarantees,"Time delays in feedback loops can cause controllers to respond too late and apply excessively large corrections, causing safety violations and infeasibility. This paper extends integral CBF theory to nonlinear systems with input delay using predictor feedback, constructing a framework that handles both state constraint safety and input constraint feasibility simultaneously. The authors analyze robustness to model uncertainty and provide conditions ensuring the framework remains valid across a range of delay values.","Time delays in feedback control loops can cause controllers to respond too late, and with excessively large corrective actions, leading to unsafe behavior (violation of state constraints) and controller infeasibility (violation of input constraints). To address this problem, we develop a safety-critical control framework for nonlinear systems with input delay using dynamically defined (integral) controllers. Building on the concept of Integral Control Barrier Functions (ICBFs), we concurrently address two fundamental challenges: compensating the effect of delays, while ensuring feasibility when state and input constraints are imposed jointly. To this end, we embed predictor feedback into a dynamically defined control law to compensate for delays, with the predicted state evolving according to delay-free dynamics. Then, utilizing ICBFs, we formulate a quadratic program for safe control design. For systems subject to simultaneous state and input constraints, we derive a closed-form feasibility condition for the resulting controller, yielding a compatible ICBF pair that guarantees forward invariance under delay. We also address robustness to prediction errors (e.g., caused by delay uncertainty) using tunable robust ICBFs. Our approach is validated on an adaptive cruise control example with actuation delay.",,false,false,
gacsi-2026-enforcing-mixed,Enforcing Mixed State-Input Constraints with Multiple Backup Control Barrier Functions: A Projection-based Approach,"Laszlo Gacsi, Adam K. Kiss, Ersin Das, Tamas G. Molnar",arXiv,Mar 2026,https://arxiv.org/abs/2603.17097,2026-03-31,email,definitely,Safe & robust robot control|Control Barrier Functions (CBFs),0,Safety & Verification,"Projection-based backup CBFs unify state, input, and mixed safety constraints in a single framework","Many real systems require satisfying constraints that couple both states and inputs (e.g., power constraints involving both velocity and force). This paper generalizes backup CBF theory to handle mixed state-input constraints through a projection-based approach using multiple backup barrier functions. The unified framework enforces state constraints, input constraints, and mixed constraints simultaneously, providing a principled safety-critical control design for systems with complex constraint structures.","Ensuring the safety of control systems often requires the satisfaction of constraints on states (such as position or velocity), control inputs (such as force), and a mixture of states and inputs (such as power that depends on both velocity and force). This paper presents a safety-critical control framework for enforcing mixed state-input constraints through a generalization of backup control barrier functions (backup CBFs). First, we extend the backup CBF approach to maintain multiple decoupled state and input constraints using a single backup set-backup controller pair. Second, we address mixed state-input constraints by converting them into state constraints using a projection from the state-input space to the state space along the backup controller. In the special case of decoupled state and input constraints, the proposed method simplifies the synthesis of backup CBFs by eliminating the need for saturating backup control laws. Finally, we demonstrate the efficacy of the proposed method on an inverted pendulum example, where constraints on the angle (state), torque (input), and power (mixture of state and input) are satisfied simultaneously.",,false,false,
muenprasitivej-2026-contingency-aware,Contingency-Aware Planning via Certified Neural Hamilton-Jacobi Reachability,"Kasidit Muenprasitivej, Derya Aksaray",arXiv,Mar 2026,https://arxiv.org/abs/2603.17022,2026-03-31,email,definitely,Safe & robust robot control|Sampling-based motion planning|Hamilton-Jacobi reachability,0,Safety & Verification|Planning & Control,Fourier Neural Operators accelerate HJ reachability enabling certified real-time contingency planning,"Hamilton-Jacobi reachability provides formal safety guarantees but solving HJ PDEs is computationally prohibitive for high-dimensional systems. This paper employs a Fourier Neural Operator (FNO) to approximate the HJ-Isaacs solution operator, enabling certified reachability computation compatible with real-time planning rates. The resulting contingency-aware navigation framework integrates neural reachability certificates with sampling-based planning to handle unknown environments with multiple possible goals.","Hamilton-Jacobi (HJ) reachability provides formal safety guarantees for dynamical systems, but solving high-dimensional HJ partial differential equations limits its use in real-time planning. This paper presents a contingency-aware multi-goal navigation framework that integrates learning-based reachability with sampling-based planning in unknown environments. We use Fourier Neural Operator (FNO) to approximate the solution operator of the Hamilton-Jacobi-Isaacs variational inequality under varying obstacle configurations. We first provide a theoretical under-approximation guarantee on the safe backward reach-avoid set, which enables formal safety certification of the learned reachable sets. Then, we integrate the certified reachable sets with an incremental multi-goal planner, which enforces reachable-set constraints and a recovery policy that guarantees finite-time return to a safe region. Overall, we demonstrate that the proposed framework achieves asymptotically optimal navigation with provable contingency behavior, and validate its performance through real-time deployment on KUKA's youBot in Webots simulation.",,false,false,
gadginmath-2026-constricting-tubes,Constricting Tubes for Prescribed-Time Safe Control,"Darshan Gadginmath, Ahmed Allibhoy, Fabio Pasqualetti",arXiv,Mar 2026,https://arxiv.org/abs/2603.17003,2026-03-31,email,definitely,Safe & robust robot control|Hamilton-Jacobi reachability|Control Barrier Functions (CBFs),0,Safety & Verification,Time-varying CBF tubes constrict to the safe set guaranteeing prescribed-time safe recovery,"This paper introduces a constricting CBF framework for systems that start outside the desired safe set and must enter it by a specified deadline. A time-varying tube shrinks from a relaxed initial set containing the starting condition to the target safe set at the user-specified time, and any controller rendering the tube forward invariant achieves prescribed-time recovery by construction. The constriction schedule is bounded and tunable, and the framework integrates with standard CBF-based QP controllers.","We propose a constricting Control Barrier Function (CBF) framework for prescribed-time control of control-affine systems with input constraints. Given a system starting outside a target safe set, we construct a time-varying safety tube that shrinks from a relaxed set containing the initial condition to the target set at a user-specified deadline. Any controller rendering this tube forward invariant guarantees prescribed-time recovery by construction. The constriction schedule is bounded and tunable by design, in contrast to prescribed-time methods where control effort diverges near the deadline. Feasibility under input constraints reduces to a single verifiable condition on the constriction rate, yielding a closed-form minimum recovery time as a function of control authority and initial violation. The framework imposes a single affine constraint per timestep regardless of state dimension, scaling to settings where grid-based reachability methods are intractable. We validate on a 16-dimensional multi-agent system and a unicycle reach-avoid problem, demonstrating prescribed-time recovery with bounded control effort.",,false,false,
udupa-2026-information-driven,Information-Driven Active Perception for k-step Predictive Safety Monitoring,"Sumukha Udupa, Jie Fu",arXiv,Mar 2026,https://arxiv.org/abs/2603.23450,2026-03-31,email,definitely,Safe & robust robot control|Sampling-based motion planning,0,Safety & Verification|Active Learning,Active sensor scheduling maximizes information gain for k-step predictive safety under budget constraints,"This work studies active perception policy synthesis for predictive safety monitoring in partially observable stochastic systems operating under strict sensing and communication budgets. The system dynamics are modeled as a labeled HMM and safety requirements as a DFA, with the monitor dynamically scheduling sensor queries to maximize information gain about safety over a k-step horizon. The framework bridges information-theoretic active learning with formal safety verification, connecting to active data collection strategies relevant for safety-critical robotics.","This work studies the synthesis of active perception policies for predictive safety monitoring in partially observable stochastic systems. Operating under strict sensing and communication budgets, the proposed monitor dynamically schedules sensor queries to maximize information gain about the safety of future states. The underlying stochastic dynamics are captured by a labeled hidden Markov model (HMM), with safety requirements defined by a deterministic finite automaton (DFA). To enable active information acquisition, we introduce minimizing k-step Shannon conditional entropy of the safety of future states as a planning objective, under the constraint of a limited sensor query budget. Using observable operators, we derive an efficient algorithm to compute the k-step conditional entropy and analyze key properties of the conditional entropy gradient with respect to policy parameters. We validate the effectiveness of the method for predictive safety monitoring through a dynamic congestion game example.",,true,false,
sesia-2026-elements-conformal,Elements of Conformal Prediction for Statisticians,"Matteo Sesia, Stefano Favaro",arXiv,Mar 2026,https://arxiv.org/abs/2603.23923,2026-03-31,email,definitely,Conformal prediction,0,Conformal Prediction,Statistical tutorial connecting conformal prediction theory to high-dimensional ML applications,"This tutorial presents conformal prediction from a rigorous statistical perspective, addressing statisticians seeking formal foundations for distribution-free predictive inference. The paper covers coverage guarantees, efficiency properties, and the relationships between conformal methods and classical statistical frameworks. It serves as a bridge between the rapidly growing ML literature on conformal prediction and the statistical community, particularly relevant for researchers using conformal methods for safety and uncertainty quantification in robotics.","Predictive inference is a fundamental task in statistics, traditionally addressed using parametric assumptions about the data distribution and detailed analyses of how models learn from data. In recent years, conformal prediction has emerged as a rapidly growing alternative framework that is particularly well suited to modern applications involving high-dimensional data and complex machine learning models. Its appeal stems from being both distribution-free -- relying mainly on symmetry assumptions such as exchangeability -- and model-agnostic, treating the learning algorithm as a black box. Even under such limited assumptions, conformal prediction provides exact finite-sample guarantees, though these are typically of a marginal nature that requires careful interpretation. This paper explains the core ideas of conformal prediction and reviews selected methods. Rather than offering an exhaustive survey, it aims to provide a clear conceptual entry point and a pedagogical overview of the field.",,false,false,
gao-2026-flow-matching,Flow Matching Policy with Entropy Regularization,"Ting Gao, Stavros Orfanoudakis, Nan Lin, Elvin Isufi, Winnie Daamen, Serge Hoogendoorn",arXiv,Mar 2026,https://arxiv.org/abs/2603.17685,2026-03-31,email,definitely,Reinforcement learning|Diffusion models|Flow matching,0,Diffusion & Flow Policies|Reinforcement Learning,Entropy-regularized flow matching gives tractable policy gradients overcoming SDE-based diffusion limits in RL,"SDE-based diffusion policies in RL suffer from intractable entropy computation and expensive policy gradients through iterative denoising chains. This paper proposes a flow matching policy formulation that incorporates direct entropy regularization, enabling tractable exact entropy control without the denoising bottleneck. The result is a computationally efficient generative policy class with principled exploration for reinforcement learning, combining the representational power of flow models with practical RL training.","Diffusion-based policies have gained significant popularity in Reinforcement Learning (RL) due to their ability to represent complex, non-Gaussian distributions. Stochastic Differential Equation (SDE)-based diffusion policies often rely on indirect entropy control due to the intractability of the exact entropy, while also suffering from computationally prohibitive policy gradients through the iterative denoising chain. To overcome these issues, we propose Flow Matching Policy with Entropy Regularization (FMER), an Ordinary Differential Equation (ODE)-based online RL framework. FMER parameterizes the policy via flow matching and samples actions along a straight probability path, motivated by optimal transport. FMER leverages the model's generative nature to construct an advantage-weighted target velocity field from a candidate set, steering policy updates toward high-value regions. By deriving a tractable entropy objective, FMER enables principled maximum-entropy optimization for enhanced exploration. Experiments on sparse multi-goal FrankaKitchen benchmarks demonstrate that FMER outperforms state-of-the-art methods, while remaining competitive on standard MuJoco benchmarks. Moreover, FMER reduces training time by 7x compared to heavy diffusion baselines (QVPO) and 10-15% relative to efficient variants.",,false,false,
solanki-2026-certifying-hamilton,Certifying Hamilton-Jacobi Reachability Learned via Reinforcement Learning,"Prashant Solanki, Isabelle El-Hajj, Jasper J. van Beers, Erik-Jan van Kampen, Coen C. de Visser",arXiv,Feb 2026,https://arxiv.org/abs/2602.16475,2026-03-31,web_survey,definitely,Safe & robust robot control|Reinforcement learning|Hamilton-Jacobi reachability,0,Safety & Verification|Reinforcement Learning,RL-learned Hamilton-Jacobi reachability now formally certifiable with SMT solvers,"Presents a framework to certify HJ reachability learned by RL using an additive-offset identity that converts uniform value errors into calibrated inner/outer reachable tube enclosures. The approach preserves HJ-level safety semantics and is compatible with deep RL. Certification is performed via SMT solvers, demonstrated on a double-integrator system.","We present a framework to certify Hamilton–Jacobi (HJ) reachability learned by reinforcement learning (RL). Building on a discounted initial time travel-cost formulation that makes small-step RL value iteration provably equivalent to a forward Hamilton–Jacobi (HJ) equation with damping, we convert certified learning errors into calibrated inner/outer enclosures of strict backward reachable tube. The core device is an additive-offset identity: if W_λ solves the discounted travel-cost Hamilton–Jacobi–Bellman (HJB) equation, then W_ε:=W_λ + ε solves the same PDE with a constant offset λε. This means that a uniform value error is exactly equal to a constant HJB offset. We establish this uniform value error via two routes: (A) a Bellman operator-residual bound, and (B) a HJB PDE-slack bound. Our framework preserves HJ-level safety semantics and is compatible with deep RL. We demonstrate the approach on a double-integrator system by formally certifying, via satisfiability modulo theories (SMT), a value function learned through reinforcement learning to induce provably correct inner and outer backward-reachable set enclosures over a compact region of interest.",Bridges RL value learning and formal reachability certification,false,false,
